section_name,difficulty,question_text
"মোবাইল/ট্যাব চালু, লক-আনলক ও অ্যাপে লগইন",medium,সেটিংস থেকে অ্যাপের ক্যামেরা ও লোকেশন পারমিশন চালু আছে কিনা যাচাই করুন।
"মোবাইল/ট্যাব চালু, লক-আনলক ও অ্যাপে লগইন",medium,ব্লুটুথ চালু করে একটি ডিভাইস Pair করে দেখান।
"মোবাইল/ট্যাব চালু, লক-আনলক ও অ্যাপে লগইন",medium,মোবাইল ডেটার সীমা (Data Limit) সেট করার জায়গা কোথায় তা বের করে দেখান।
"মোবাইল/ট্যাব চালু, লক-আনলক ও অ্যাপে লগইন",medium,কোনো একটি স্পিড টেস্ট ওয়েবসাইট খুলে ইন্টারনেটের গতি পরীক্ষা করে দেখান।
"মোবাইল/ট্যাব চালু, লক-আনলক ও অ্যাপে লগইন",medium,এই ফোনে থাকা 'Attendance' নামের একটি অ্যাপে ইউজার আইডি ও পাসওয়ার্ড দিয়ে লগইন করুন; লগইন না হলে সমস্যাটি কীভাবে সমাধান করবেন তা বলুন।
"মোবাইল/ট্যাব চালু, লক-আনলক ও অ্যাপে লগইন",hard,অ্যাপ লগইন করার সময় নেটওয়ার্ক এরর দেখাচ্ছে — সমস্যাটি সমাধান করে দেখান।
"মোবাইল/ট্যাব চালু, লক-আনলক ও অ্যাপে লগইন",hard,"ব্যাটারি মাত্র ১৫% আছে, কিন্তু আরও ১ ঘণ্টা কাজ করা বাকি — ফোন বন্ধ না হওয়ার জন্য আপনি কী কী পদক্ষেপ নেবেন?"
"মোবাইল/ট্যাব চালু, লক-আনলক ও অ্যাপে লগইন",hard,অ্যাপ হঠাৎ ক্র্যাশ/হ্যাং করলে ফোর্স-স্টপ করে পুনরায় সচল করে দেখান।
"মোবাইল/ট্যাব চালু, লক-আনলক ও অ্যাপে লগইন",hard,"মোবাইল রিস্টার্ট দেওয়ার পর অ্যাপ স্বয়ংক্রিয়ভাবে লগইন অবস্থায় আছে কিনা যাচাই করে, না থাকলে দ্রুত পুনরায় লগইন করে দেখান।"
"মোবাইল/ট্যাব চালু, লক-আনলক ও অ্যাপে লগইন",hard,দুটি সিমের মধ্যে কোনটি দিয়ে ইন্টারনেট চলবে তা নির্ধারণ করে পাশাপাশি একাধিক অ্যাপ (মাল্টিটাস্কিং) চালিয়ে দেখান।
"মোবাইল/ট্যাব চালু, লক-আনলক ও অ্যাপে লগইন",hard,একটি নির্দিষ্ট অ্যাপ ফোনের কতটুকু স্টোরেজ/মেমোরি ব্যবহার করেছে তা বের করে দেখান।
গুগল ম্যাপ ব্যবহার,easy,গুগল ম্যাপ খুলে বর্তমান অবস্থান (লাইভ লোকেশন) বের করে দেখান।
গুগল ম্যাপ ব্যবহার,easy,নিজের বাসার ঠিকানা সার্চ করে বের করুন।
গুগল ম্যাপ ব্যবহার,easy,ম্যাপে জুম-ইন/জুম-আউট করে একটি নির্দিষ্ট বাড়ি/রাস্তা শনাক্ত করুন।
গুগল ম্যাপ ব্যবহার,easy,স্যাটেলাইট ভিউ থেকে সাধারণ (ডিফল্ট) ভিউতে পরিবর্তন করে দেখান।
গুগল ম্যাপ ব্যবহার,easy,"আপনি যে কলেজ/প্রতিষ্ঠানে পড়েন, তার অবস্থান ম্যাপে খুঁজে বের করুন।"
গুগল ম্যাপ ব্যবহার,medium,একটি নির্দিষ্ট স্থান পিন করে Save/Label করে সংরক্ষণ করুন।
গুগল ম্যাপ ব্যবহার,medium,দুইটি স্থানের মধ্যে দূরত্ব ও যাতায়াতের সময় বের করুন (হাঁটা ও গাড়ির রুট)।
গুগল ম্যাপ ব্যবহার,medium,একটি লোকেশনের লিংক তৈরি করে হোয়াটসঅ্যাপ/এসএমএসের মাধ্যমে শেয়ার করুন।
গুগল ম্যাপ ব্যবহার,medium,আশেপাশের একটি হাসপাতাল/স্কুল/বাজার খুঁজে বের করে দূরত্ব বলুন।
গুগল ম্যাপ ব্যবহার,medium,একটি নির্দিষ্ট এলাকার অফলাইন ম্যাপ ডাউনলোড করে দেখান।
গুগল ম্যাপ ব্যবহার,medium,আপনার কলেজ থেকে উপজেলা অফিসের দূরত্ব ম্যাপে বের করে বলুন।
গুগল ম্যাপ ব্যবহার,medium,"আপনার বাড়ি যে ইউনিয়নে, তার অবস্থান ম্যাপে দেখিয়ে উপজেলা থেকে দূরত্ব বের করুন।"
গুগল ম্যাপ ব্যবহার,medium,একটি নির্দিষ্ট উপজেলা ম্যাপে খুঁজে বের করুন।
গুগল ম্যাপ ব্যবহার,medium,Location History (লোকেশন হিস্ট্রি) কোথায় সংরক্ষিত থাকে তা দেখান।
গুগল ম্যাপ ব্যবহার,hard,জিপিএস সিগন্যাল দুর্বল দেখালে তা কীভাবে উন্নত করবেন দেখান।
গুগল ম্যাপ ব্যবহার,hard,অফলাইন ডাউনলোড করা ম্যাপ ব্যবহার করে ইন্টারনেট ছাড়া নিজের অবস্থান বের করে দেখান।
গুগল ম্যাপ ব্যবহার,hard,"একটি ঠিকানার GPS কোঅর্ডিনেট (latitude, longitude) বের করে তা কপি করে অন্য একটি অ্যাপে (নোট/মেসেজ) পেস্ট করুন।"
গুগল ম্যাপ ব্যবহার,hard,একাধিক স্টপেজসহ একটি রুট পরিকল্পনা করে দেখান।
গুগল ম্যাপ ব্যবহার,hard,ম্যাপ অ্যাপ ক্র্যাশ করলে বা লোড না হলে আপনি কী পদক্ষেপ নেবেন তা করে দেখান।
গুগল ম্যাপ ব্যবহার,hard,"আপনি এখন যেখানে বসে আছেন তার অক্ষাংশ ও দ্রাঘিমাংশ (Latitude, Longitude) বের করে বলুন।"
গুগল ম্যাপ ব্যবহার,hard,বর্তমান অবস্থান হোয়াটসঅ্যাপে শেয়ার করুন এবং আগামী ৮ ঘণ্টার Live Location শেয়ার করে দেখান।
নমুনা তথ্য সঠিকভাবে অ্যাপে প্রবেশ (ডেটা এন্ট্রি),easy,"প্রদত্ত কাল্পনিক পরিবারের নাম, বয়স, ঠিকানা অ্যাপের ফরমে এন্ট্রি করুন।"
নমুনা তথ্য সঠিকভাবে অ্যাপে প্রবেশ (ডেটা এন্ট্রি),easy,জন্ম তারিখ সঠিক ফরম্যাটে (দিন/মাস/বছর) এন্ট্রি করুন।
নমুনা তথ্য সঠিকভাবে অ্যাপে প্রবেশ (ডেটা এন্ট্রি),easy,ড্রপডাউন থেকে সঠিক পেশা/লিঙ্গ নির্বাচন করে দেখান।
নমুনা তথ্য সঠিকভাবে অ্যাপে প্রবেশ (ডেটা এন্ট্রি),easy,একটি টেক্সট ফিল্ডে বাংলায় সঠিকভাবে টাইপ করে দেখান (যেমন নাম/ঠিকানা)।
নমুনা তথ্য সঠিকভাবে অ্যাপে প্রবেশ (ডেটা এন্ট্রি),easy,Google Form কী তা জানেন? এতে ড্রপডাউন মেনু ও প্লেইন টেক্সট বলতে কী বোঝায় তা ব্যাখ্যা করুন।
নমুনা তথ্য সঠিকভাবে অ্যাপে প্রবেশ (ডেটা এন্ট্রি),medium,এন্ট্রি করা তথ্যের একটি অংশ ইচ্ছাকৃতভাবে ভুল দিয়ে তা সংশোধন (Edit) করে দেখান।
নমুনা তথ্য সঠিকভাবে অ্যাপে প্রবেশ (ডেটা এন্ট্রি),medium,একটি অসম্পূর্ণ ফর্ম Draft আকারে সংরক্ষণ করে পরে আবার খুলে সম্পন্ন করুন।
নমুনা তথ্য সঠিকভাবে অ্যাপে প্রবেশ (ডেটা এন্ট্রি),medium,একাধিক অপশন নির্বাচনযোগ্য (multi-select) প্রশ্নে একাধিক টিক দিয়ে দেখান।
নমুনা তথ্য সঠিকভাবে অ্যাপে প্রবেশ (ডেটা এন্ট্রি),medium,তথ্য এন্ট্রি শেষে সাবমিট করে তা সার্ভারে সিংক হয়েছে কিনা যাচাই করুন।
নমুনা তথ্য সঠিকভাবে অ্যাপে প্রবেশ (ডেটা এন্ট্রি),medium,আগে সাবমিট করা একটি ফর্ম খুঁজে বের করে প্রয়োজনীয় সংশোধন করে দেখান।
নমুনা তথ্য সঠিকভাবে অ্যাপে প্রবেশ (ডেটা এন্ট্রি),medium,একটি নমুনা Google Form খুলে তা পূরণ করে সাবমিট করে দেখান।
নমুনা তথ্য সঠিকভাবে অ্যাপে প্রবেশ (ডেটা এন্ট্রি),medium,জাতীয় পরিচয়পত্র না থাকলে আপনি ফর্মে কীভাবে তথ্য এন্ট্রি করবেন?
নমুনা তথ্য সঠিকভাবে অ্যাপে প্রবেশ (ডেটা এন্ট্রি),hard,একটি শর্তসাপেক্ষ (স্কিপ লজিক) প্রশ্ন সঠিকভাবে পূরণ করে দেখান (যেমন উত্তর 'হ্যাঁ' হলে পরের উপ-প্রশ্ন আসবে)।
নমুনা তথ্য সঠিকভাবে অ্যাপে প্রবেশ (ডেটা এন্ট্রি),hard,জিপিএস/লোকেশন সংযোগ ছাড়া ফর্ম সাবমিট করা যায় কি না পরীক্ষা করুন এবং সমস্যা হলে কী করবেন তা বলুন।
নমুনা তথ্য সঠিকভাবে অ্যাপে প্রবেশ (ডেটা এন্ট্রি),hard,ফর্ম পূরণের মাঝপথে ইন্টারনেট সংযোগ চলে গেলে ডেটা সংরক্ষিত থাকে কিনা যাচাই করুন।
নমুনা তথ্য সঠিকভাবে অ্যাপে প্রবেশ (ডেটা এন্ট্রি),hard,একই বাড়িতে দুইবার এন্ট্রি হয়ে গেলে (Duplicate Entry) আপনি কীভাবে তা শনাক্ত ও সমাধান করবেন?
নমুনা তথ্য সঠিকভাবে অ্যাপে প্রবেশ (ডেটা এন্ট্রি),hard,একটি সম্পূর্ণ ফর্ম যতটা সম্ভব দ্রুত ও নির্ভুলভাবে পূরণ করে দেখান (সময় ধরে)।
গুগল ম্যাপে জিও-ট্যাগিং ও বাড়ির ছবি তোলা ও সংযুক্তকরণ,easy,অ্যাপের ক্যামেরা ব্যবহার করে একটি বাড়ির সামনের ছবি তুলে ফরমে সংযুক্ত করুন।
গুগল ম্যাপে জিও-ট্যাগিং ও বাড়ির ছবি তোলা ও সংযুক্তকরণ,easy,ছবি তোলার সময় ফ্ল্যাশ অন/অফ করে দেখান।
গুগল ম্যাপে জিও-ট্যাগিং ও বাড়ির ছবি তোলা ও সংযুক্তকরণ,easy,একটি ভুলভাবে তোলা ছবি ডিলিট করে পুনরায় সঠিকভাবে তুলুন।
গুগল ম্যাপে জিও-ট্যাগিং ও বাড়ির ছবি তোলা ও সংযুক্তকরণ,easy,ফ্ল্যাশলাইট চালু করে অন্ধকারে একটি ছবি তুলে দেখান।
গুগল ম্যাপে জিও-ট্যাগিং ও বাড়ির ছবি তোলা ও সংযুক্তকরণ,medium,তোলা ছবিতে সঠিক GPS লোকেশন ট্যাগ যুক্ত হয়েছে কিনা যাচাই করে দেখান।
গুগল ম্যাপে জিও-ট্যাগিং ও বাড়ির ছবি তোলা ও সংযুক্তকরণ,medium,একটি বাড়ির একাধিক ছবি (সামনে/পেছনে/পাশ) আলাদা আলাদা ফিল্ডে সংযুক্ত করুন।
গুগল ম্যাপে জিও-ট্যাগিং ও বাড়ির ছবি তোলা ও সংযুক্তকরণ,medium,তোলা ছবির লোকেশন ও বাড়ির প্রকৃত অবস্থান গুগল ম্যাপে মিলিয়ে যাচাই করুন।
গুগল ম্যাপে জিও-ট্যাগিং ও বাড়ির ছবি তোলা ও সংযুক্তকরণ,medium,কম আলোতে/রাতে ছবি তোলার ক্ষেত্রে ফ্ল্যাশ ব্যবহার করে স্পষ্ট ছবি তুলে দেখান।
গুগল ম্যাপে জিও-ট্যাগিং ও বাড়ির ছবি তোলা ও সংযুক্তকরণ,medium,"ক্যামেরা অ্যাপে কী কী পারমিশন (Camera, Location, Storage) চালু আছে তা বের করে দেখান।"
গুগল ম্যাপে জিও-ট্যাগিং ও বাড়ির ছবি তোলা ও সংযুক্তকরণ,hard,লোকেশন বন্ধ অবস্থায় ছবি তোলার চেষ্টা করে সমস্যাটি কীভাবে সমাধান করবেন তা দেখান।
গুগল ম্যাপে জিও-ট্যাগিং ও বাড়ির ছবি তোলা ও সংযুক্তকরণ,hard,দুর্বল ইন্টারনেট সংযোগে ছবি আপলোড আটকে গেলে তা কীভাবে সমাধান করবেন দেখান।
গুগল ম্যাপে জিও-ট্যাগিং ও বাড়ির ছবি তোলা ও সংযুক্তকরণ,hard,অ্যাপ থেকে সরাসরি ছবি তোলার বদলে গ্যালারি থেকে পুরনো ছবি আপলোড করা যায় কিনা যাচাই করুন এবং এটি কেন গ্রহণযোগ্য নয় তা ব্যাখ্যা করুন।
গুগল ম্যাপে জিও-ট্যাগিং ও বাড়ির ছবি তোলা ও সংযুক্তকরণ,hard,ছবি তোলার সময় GPS অ্যাকুরেসি কত মিটার দেখাচ্ছে তা বের করে প্রয়োজনে উন্নত করে দেখান।
জরুরি পরিস্থিতি বা ক্রাইসিস মোকাবেলা সক্ষমতা,easy,ফোনের চার্জ মাত্র ৫% — আপনি কী করবেন?
জরুরি পরিস্থিতি বা ক্রাইসিস মোকাবেলা সক্ষমতা,easy,মোবাইল নেটওয়ার্ক নেই — আপনি কীভাবে কাজ চালিয়ে যাবেন?
জরুরি পরিস্থিতি বা ক্রাইসিস মোকাবেলা সক্ষমতা,easy,হঠাৎ বৃষ্টি শুরু হলে আপনার ফোন/ট্যাব কীভাবে সুরক্ষিত রাখবেন?
জরুরি পরিস্থিতি বা ক্রাইসিস মোকাবেলা সক্ষমতা,medium,GPS/লোকেশন কাজ করছে না — আপনি কী করবেন?
জরুরি পরিস্থিতি বা ক্রাইসিস মোকাবেলা সক্ষমতা,medium,অ্যাপ হঠাৎ ক্র্যাশ করেছে এবং ডেটা Sync হচ্ছে না — আপনি কী করবেন?
জরুরি পরিস্থিতি বা ক্রাইসিস মোকাবেলা সক্ষমতা,medium,রাস্তায় কুকুর বা অন্য পশু তাড়া করলে আপনি কী করবেন?
জরুরি পরিস্থিতি বা ক্রাইসিস মোকাবেলা সক্ষমতা,medium,বাড়ির মালিক রেগে গিয়ে দরজা বন্ধ করে দিলে আপনি কী করবেন? (রোলপ্লে)
জরুরি পরিস্থিতি বা ক্রাইসিস মোকাবেলা সক্ষমতা,medium,দুর্গম এলাকায় কাজ করার সময় আপনার মোবাইল/ট্যাব হারিয়ে গেলে আপনি কী পদক্ষেপ নেবেন?
জরুরি পরিস্থিতি বা ক্রাইসিস মোকাবেলা সক্ষমতা,hard,এলাকায় হঠাৎ সামাজিক বা রাজনৈতিক অস্থিরতা দেখা দিলে আপনি কীভাবে নিরাপদে কাজ চালিয়ে যাবেন বা বন্ধ করবেন?
জরুরি পরিস্থিতি বা ক্রাইসিস মোকাবেলা সক্ষমতা,hard,একজন উত্তরদাতা তথ্য দিতে অস্বীকার করে হুমকি দিলে আপনি কী করবেন?
জরুরি পরিস্থিতি বা ক্রাইসিস মোকাবেলা সক্ষমতা,hard,রাতে ফেরার পথে যানবাহন ও নেটওয়ার্ক কিছুই না পেলে আপনি কীভাবে অফিস/পরিবারের সাথে যোগাযোগ রাখবেন?
জরুরি পরিস্থিতি বা ক্রাইসিস মোকাবেলা সক্ষমতা,hard,সার্ভে করার সময় শারীরিকভাবে হঠাৎ অসুস্থ বোধ করলে আপনি একা কী করবেন?
জরুরি পরিস্থিতি বা ক্রাইসিস মোকাবেলা সক্ষমতা,hard,বন্যা বা দুর্যোগের কারণে নির্ধারিত এলাকায় পৌঁছানো অসম্ভব হলে আপনি কর্তৃপক্ষকে কীভাবে জানাবেন?
ডেটার গুরুত্ব ও তথ্যের নিরাপত্তা বিষয়ক ধারনা,easy,কাজ শেষে অ্যাপ থেকে Logout করে দেখান কেন এটি জরুরি।
ডেটার গুরুত্ব ও তথ্যের নিরাপত্তা বিষয়ক ধারনা,easy,আপনার ট্যাব/মোবাইলের স্ক্রিন লক (পাসওয়ার্ড) কেন গুরুত্বপূর্ণ তা ব্যাখ্যা করুন।
ডেটার গুরুত্ব ও তথ্যের নিরাপত্তা বিষয়ক ধারনা,easy,ব্যক্তিগত ছবি ও জরিপের ছবি আলাদা কীভাবে রাখবেন?
ডেটার গুরুত্ব ও তথ্যের নিরাপত্তা বিষয়ক ধারনা,easy,Google অ্যাকাউন্ট থেকে Sign Out করে দেখান — এটি কেন জরুরি ব্যাখ্যা করুন।
ডেটার গুরুত্ব ও তথ্যের নিরাপত্তা বিষয়ক ধারনা,medium,OTP অন্য কাউকে দেওয়া উচিত কিনা এবং কেন?
ডেটার গুরুত্ব ও তথ্যের নিরাপত্তা বিষয়ক ধারনা,medium,Public Wi-Fi ব্যবহার করা কি নিরাপদ? ব্যাখ্যা করুন।
ডেটার গুরুত্ব ও তথ্যের নিরাপত্তা বিষয়ক ধারনা,medium,অচেনা APK বা অ্যাপ ইনস্টল করা উচিত কিনা ব্যাখ্যা করুন।
ডেটার গুরুত্ব ও তথ্যের নিরাপত্তা বিষয়ক ধারনা,medium,আপনার ট্যাব/মোবাইলের পাসওয়ার্ড অন্য কারো সাথে শেয়ার করা কি ঠিক হবে? কেন?
ডেটার গুরুত্ব ও তথ্যের নিরাপত্তা বিষয়ক ধারনা,medium,"একজন উত্তরদাতা তার ব্যক্তিগত তথ্য (আয়, সম্পদ) দিতে না চাইলে আপনি কীভাবে তাকে গোপনীয়তা সম্পর্কে আশ্বস্ত করবেন?"
ডেটার গুরুত্ব ও তথ্যের নিরাপত্তা বিষয়ক ধারনা,medium,ফ্যামিলি কার্ড পাওয়ার নিশ্চিত প্রতিশ্রুতি দিয়ে মানুষকে তথ্য দিতে রাজি করানো যাবে কি?
ডেটার গুরুত্ব ও তথ্যের নিরাপত্তা বিষয়ক ধারনা,medium,Spam বা ভুয়া SMS কীভাবে চিনবেন তা ব্যাখ্যা করুন।
ডেটার গুরুত্ব ও তথ্যের নিরাপত্তা বিষয়ক ধারনা,medium,একজন দরিদ্র ব্যক্তি বিশেষভাবে অনুরোধ করলে আপনি কি তার তথ্য পরিবর্তন করে দেবেন?
ডেটার গুরুত্ব ও তথ্যের নিরাপত্তা বিষয়ক ধারনা,medium,রাজনৈতিক পরিচয়ের ভিত্তিতে কারো তথ্য পরিবর্তন করা যাবে কি?
ডেটার গুরুত্ব ও তথ্যের নিরাপত্তা বিষয়ক ধারনা,hard,আপনার সংগ্রহ করা তথ্যসহ মোবাইল/ট্যাব হারিয়ে গেলে বা চুরি হয়ে গেলে আপনি কী করবেন?
ডেটার গুরুত্ব ও তথ্যের নিরাপত্তা বিষয়ক ধারনা,hard,"কেউ যদি আপনার কাছে অন্য উত্তরদাতার ব্যক্তিগত তথ্য জানতে চায়, আপনি কী উত্তর দেবেন?"
ডেটার গুরুত্ব ও তথ্যের নিরাপত্তা বিষয়ক ধারনা,hard,কোনো উত্তরদাতার তথ্য ভুল ব্যক্তির কাছে পৌঁছে গেলে তার সম্ভাব্য ক্ষতি সম্পর্কে আপনার ধারণা কী এবং কীভাবে তা প্রতিরোধ করবেন?
ডেটার গুরুত্ব ও তথ্যের নিরাপত্তা বিষয়ক ধারনা,hard,তথ্য জালিয়াতি বা গোপনীয়তা ভঙ্গ করলে আইনগতভাবে আপনার কী পরিণতি হতে পারে বলে আপনি জানেন?
ডেটার গুরুত্ব ও তথ্যের নিরাপত্তা বিষয়ক ধারনা,hard,একজন পরিবারের প্রধান না থাকলে আপনি কী করবেন?
ডেটার গুরুত্ব ও তথ্যের নিরাপত্তা বিষয়ক ধারনা,hard,প্রতিদিন নির্ধারিত সংখ্যক তথ্য সংগ্রহ করতে না পারলে আপনি কী করবেন?
ডেটার গুরুত্ব ও তথ্যের নিরাপত্তা বিষয়ক ধারনা,hard,সময়মতো কাজ শেষ না হলে আপনি কী করবেন?
"আচার, আচরণ ও মৌখিক প্রশ্নোত্তর",easy,আপনার নিজের সম্পর্কে সংক্ষেপে বলুন।
"আচার, আচরণ ও মৌখিক প্রশ্নোত্তর",easy,বাড়িতে ঢোকার আগে আপনি কীভাবে অনুমতি চাইবেন?
"আচার, আচরণ ও মৌখিক প্রশ্নোত্তর",easy,আপনি কেন এই কাজের জন্য নিজেকে উপযুক্ত মনে করেন?
"আচার, আচরণ ও মৌখিক প্রশ্নোত্তর",easy,একটি ছোট বাংলা অনুচ্ছেদ জোরে পড়তে দিন — উচ্চারণ যাচাই করুন।
"আচার, আচরণ ও মৌখিক প্রশ্নোত্তর",easy,নিম্নলিখিত লাইনটি জোরে পড়ুন: 'আপনার তথ্য → আপনার ফ্যামিলি কার্ড → আপনার অধিকার; প্রতিটি পরিবার সমান গুরুত্বপূর্ণ — কেউ বাদ যাবেন না।'
"আচার, আচরণ ও মৌখিক প্রশ্নোত্তর",easy,"নিচের শব্দগুলোর বানান লিখুন: ব্রাহ্মণবাড়িয়া, খ্রিস্টান, স্বর্ণালংকার।"
"আচার, আচরণ ও মৌখিক প্রশ্নোত্তর",medium,নারী উত্তরদাতা বা প্রবীণ ব্যক্তির সাথে কথা বলার সময় আপনি কী বিশেষ খেয়াল রাখবেন?
"আচার, আচরণ ও মৌখিক প্রশ্নোত্তর",medium,একজন উত্তরদাতা রেগে গেলে বা দুর্ব্যবহার করলে আপনি কীভাবে ধৈর্য ধরে পরিস্থিতি সামলাবেন?
"আচার, আচরণ ও মৌখিক প্রশ্নোত্তর",medium,একই প্রশ্ন বারবার করতে হলে আপনি কীভাবে ভদ্রভাবে তা করবেন?
"আচার, আচরণ ও মৌখিক প্রশ্নোত্তর",medium,সাক্ষাৎকার শেষে আপনি কীভাবে উত্তরদাতাকে ধন্যবাদ জানাবেন?
"আচার, আচরণ ও মৌখিক প্রশ্নোত্তর",medium,একই অনুচ্ছেদ থেকে ২-৩ লাইন শ্রুতলিখন (Dictation) করান — বানান যাচাই করুন।
"আচার, আচরণ ও মৌখিক প্রশ্নোত্তর",medium,"নিচের শব্দগুলোর বানান লিখুন: শ্রদ্ধাঞ্জলি, বিজ্ঞান, বুদ্ধি, উজ্জ্বল।"
"আচার, আচরণ ও মৌখিক প্রশ্নোত্তর",medium,নিম্নলিখিত লাইনটি জোরে পড়ে এর অর্থ নিজের ভাষায় ব্যাখ্যা করুন: 'তথ্য সংগ্রহের সময় প্রতিটি পরিবারকে তথ্যের গোপনীয়তার বিষয়ে আইনি নিশ্চয়তা প্রদান করা এবং কোনো প্রকার ভয়-ভীতি প্রদর্শন না করা প্রতিটি শুমারিকর্মীর আবশ্যিক কর্তব্য।'
"আচার, আচরণ ও মৌখিক প্রশ্নোত্তর",hard,কোনো উত্তরদাতা আপনাকে ঘুষ বা উপহার দিতে চাইলে আপনি কী করবেন?
"আচার, আচরণ ও মৌখিক প্রশ্নোত্তর",hard,রাজনৈতিক প্রশ্ন করলে আপনি কীভাবে নিরপেক্ষভাবে উত্তর দেবেন?
"আচার, আচরণ ও মৌখিক প্রশ্নোত্তর",hard,বাড়িতে শোকের পরিবেশ থাকলে আপনি কী করবেন বা কাজ স্থগিত রাখবেন?
"আচার, আচরণ ও মৌখিক প্রশ্নোত্তর",hard,"আপনি যদি কোনো ভুল করেন এবং তা ধরা পড়ে, আপনি কীভাবে তা স্বীকার করবেন ও সংশোধন করবেন?"
"আচার, আচরণ ও মৌখিক প্রশ্নোত্তর",hard,একজন উত্তরদাতা তথ্য গোপন রাখার নিশ্চয়তা চাইলে আপনি বাস্তবে কীভাবে সেই আশ্বাস দেবেন?
"আচার, আচরণ ও মৌখিক প্রশ্নোত্তর",hard,নিম্নলিখিত লাইনটি জোরে পড়ে এর তাৎপর্য ব্যাখ্যা করুন: 'এই নির্দেশিকার বিধান লঙ্ঘন বা অমান্য সরকারি কর্মচারী আচরণ বিধিমালা ১৯৭৯ ও প্রযোজ্য ক্ষেত্রে ফৌজদারি আইনের আওতায় শাস্তিযোগ্য হবে।'
"মোবাইল/ট্যাব চালু, লক-আনলক ও অ্যাপে লগইন",easy,মোবাইল/ট্যাবটি রিস্টার্ট করে আবার চালু করুন।
"মোবাইল/ট্যাব চালু, লক-আনলক ও অ্যাপে লগইন",easy,এয়ারপ্লেন মোড চালু করে ৩০ সেকেন্ড পর বন্ধ করে নেটওয়ার্ক পুনরায় সংযুক্ত করুন।
"মোবাইল/ট্যাব চালু, লক-আনলক ও অ্যাপে লগইন",easy,মোবাইলে বর্তমানে কত জিবি স্টোরেজ খালি আছে তা বের করে দেখান।
"মোবাইল/ট্যাব চালু, লক-আনলক ও অ্যাপে লগইন",medium,নেটওয়ার্ক মোড 2G থেকে 4G/LTE-তে পরিবর্তন করুন।
"মোবাইল/ট্যাব চালু, লক-আনলক ও অ্যাপে লগইন",medium,একটি নতুন ওয়াই-ফাই নেটওয়ার্কে পাসওয়ার্ড দিয়ে সংযুক্ত হয়ে দেখান।
"মোবাইল/ট্যাব চালু, লক-আনলক ও অ্যাপে লগইন",medium,সুপারভাইজার ওয়েব অ্যাপ্লিকেশন/প্যানেলে সঠিকভাবে লগইন করে দেখান।
